category,sku,descripcion,price,stock,old_price,price_delta,last_seen,status,category_old,familia,marca,discount,ref,processed_description,entities,category_homol
Procesadores pc,100-100001404WOF,"Procesador AMD Ryzen 7 9700X con AMD Radeon Graphics, Socket AM5, 5.50GHz, 8 Núcleos, 40MB Caché - No incluye Disipador",6429.0,2.0,6429.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 9700x amd radeon graphics socket am5 5 50ghz 8 nucleos 40mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 9700x'], 'CACHE': ['40mb']}",CPU
Procesadores pc,100-100000910WOF,"Procesador AMD Ryzen 7 7800X3D con AMD Radeon Graphics, Socket AM5, 5GHz, 8 Núcleos, 96MB Caché - No incluye Disipador",7509.0,1.0,7509.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 7800x3d amd radeon graphics socket am5 5ghz 8 nucleos 96mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 7800x3d'], 'CACHE': ['96mb']}",CPU
Procesadores pc,BX8071513600K,"Procesador Intel Core i5-13600K con Intel UHD Graphics 770, LGA 1700, 5.10GHz, 14 Núcleos, 24MB Caché, No incluye Disipador - 13va. Generación Raptor Lake",6919.0,5.0,6919.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 13600k intel uhd graphics 770 lga 1700 5 10ghz 14 nucleos 24mb cache 13va generacion raptor lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 13600k'], 'CACHE': ['24mb']}",CPU
Procesadores pc,BX8071513400F,"Procesador Intel Core i5-13400F, LGA 1700, 4.60GHz, 10 Núcleos, 20MB Caché, Incluye Disipador - 13va. Generación Raptor Lake",2699.0,48.0,2699.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 13400f lga 1700 4 60ghz 10 nucleos 20mb cache 13va generacion raptor lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 13400f'], 'CACHE': ['20mb']}",CPU
Procesadores pc,100-100001015BOX,"Procesador AMD Ryzen 5 7600 con AMD Radeon Graphics, Socket AM5, 5.10GHz, 6 Núcleos, 32MB Caché - Incluye Disipador",3699.0,29.0,3699.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 7600 amd radeon graphics socket am5 5 10ghz 6 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 7600'], 'CACHE': ['32mb']}",CPU
Procesadores pc,100-100000591WOF,"Procesador AMD Ryzen 7 7700X con AMD Radeon Graphics, Socket AM5, 5.3GHz, 8 Núcleos, 32MB Caché - No incluye Disipador",5699.0,16.0,5699.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 7700x amd radeon graphics socket am5 5 3ghz 8 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 7700x'], 'CACHE': ['32mb']}",CPU
Procesadores pc,100-100001405WOF,"Procesador AMD Ryzen 5 9600X con AMD Radeon Graphics, Socket AM5, 5.40GHz, 6 Núcleos, 38MB Caché - No incluye Disipador",4329.0,19.0,4329.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 9600x amd radeon graphics socket am5 5 40ghz 6 nucleos 38mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 9600x'], 'CACHE': ['38mb']}",CPU
Procesadores pc,100-100000589WOF,"Procesador AMD Ryzen 9 7900X con AMD Radeon Graphics, Socket AM5, 5.6GHz, 12 Núcleos, 64MB Caché - No incluye Disipador",6609.0,29.0,6609.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 9 7900x amd radeon graphics socket am5 5 6ghz 12 nucleos 64mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 7900x'], 'CACHE': ['64mb']}",CPU
Procesadores pc,BX8071514600KF,"Procesador Intel Core i5-14600KF, LGA 1700, 5.3GHz, 14 Núcleos, 24MB Caché, No incluye Disipador - 14va. Generación Raptor Lake",4419.0,24.0,4419.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 14600kf lga 1700 5 3ghz 14 nucleos 24mb cache 14va generacion raptor lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 14600kf'], 'CACHE': ['24mb']}",CPU
Procesadores pc,100-100000743BOX,"Procesador AMD Ryzen 7 5700, Socket AM4, 4.60GHz, 8 Núcleos, 16MB Caché - Incluye Disipador",2499.0,61.0,2499.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 5700 socket am4 4 60ghz 8 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 5700'], 'CACHE': ['16mb']}",CPU
Procesadores pc,100-100000926WOF,"Procesador AMD Ryzen 7 5700X, Socket AM4, 4.60GHz, 8 Núcleos, 32MB Caché - No incluye Disipador",3039.0,147.0,3039.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 5700x socket am4 4 60ghz 8 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 5700x'], 'CACHE': ['32mb']}",CPU
Procesadores pc,BX8071512600KF,"Procesador Intel Core i5-12600KF, LGA 1700, 4.90GHz, 10 Núcleos, 20MB Caché, No incluye Disipador - 12va. Generación Alder Lake",3119.0,25.0,3119.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 12600kf lga 1700 4 90ghz 10 nucleos 20mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 12600kf'], 'CACHE': ['20mb']}",CPU
Procesadores pc,100-100000644BOX,"Procesador AMD Ryzen 5 4500, Socket AM4, 4.10GHz, 6 Núcleos, 8MB Caché - Incluye Disipador",1059.0,197.0,1059.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 4500 socket am4 4 10ghz 6 nucleos 8mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 4500'], 'CACHE': ['8mb']}",CPU
Procesadores pc,100-100000457BOX,"Procesador AMD Ryzen 5 5500, Socket AM4, 4.40GHz, 6 Núcleos, 16MB Caché - Incluye Disipador",1329.0,265.0,1329.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 5500 socket am4 4 40ghz 6 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 5500'], 'CACHE': ['16mb']}",CPU
Procesadores pc,100-100000927BOX,"Procesador AMD Ryzen 5 5600, Socket AM4, 4.40GHz, 6 Núcleos, 32MB Caché - Incluye Disipador",1899.0,3.0,1899.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 5600 socket am4 4 40ghz 6 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 5600'], 'CACHE': ['32mb']}",CPU
Procesadores pc,100-100001236SBX,"Procesador AMD Ryzen 7 8700G con AMD Radeon Graphics, Socket AM5, 5.10GHz, 8 Núcleos, 24MB Caché - Incluye Disipador",4919.0,269.0,4909.0,0.002,20251004 18:54,active,,,,,,procesador amd ryzen 7 8700g amd radeon graphics socket am5 5 10ghz 8 nucleos 24mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 8700g'], 'CACHE': ['24mb']}",CPU
Procesadores pc,100-100000719WOF,"Procesador AMD Ryzen 9 9950X3D con AMD Radeon Graphics, Socket AM5, 5.7GHz, 16 Núcleos, 144MB Caché - No incluye Disipador",13019.0,13.0,13019.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 9 9950x3d amd radeon graphics socket am5 5 7ghz 16 nucleos 144mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 9950x3d'], 'CACHE': ['144mb']}",CPU
Procesadores pc,BX8071512400,"Procesador Intel Core i5-12400 con Intel UHD Graphics 730, LGA 1700, 4.40GHz, 6 Núcleos, 18MB Caché, Incluye Disipador - 12va. Generación Alder Lake",2959.0,199.0,2959.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 12400 intel uhd graphics 730 lga 1700 4 40ghz 6 nucleos 18mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 12400'], 'CACHE': ['18mb']}",CPU
Procesadores pc,BX8071512400F,"Procesador Intel Core i5-12400F, LGA 1700, 4.40GHz, 6 Núcleos, 12MB Caché, Incluye Disipador - 12va. Generación Alder Lake",2279.0,35.0,2279.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 12400f lga 1700 4 40ghz 6 nucleos 12mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 12400f'], 'CACHE': ['12mb']}",CPU
Procesadores pc,100-100001591BOX,"Procesador AMD Ryzen 5 8400F, Socket AM5, 4.70GHz, 6 Núcleos, 16MB Caché - Incluye Disipador",2689.0,36.0,2689.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 8400f socket am5 4 70ghz 6 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 8400f'], 'CACHE': ['16mb']}",CPU
Procesadores pc,100-100000252BOX,"Procesador AMD Ryzen 5 5600G con AMD Radeon Graphics, Socket AM4, 4.40GHz, 6 Núcleos, 16MB Caché - Incluye Disipador",2309.0,4.0,2309.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 5 5600g amd radeon graphics socket am4 4 40ghz 6 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 5 5600g'], 'CACHE': ['16mb']}",CPU
Procesadores pc,BX8071512600K,"Procesador Intel Core i5-12600K con Intel UHD Graphics 770, LGA 1700, 4.90GHz, 10 Núcleos, 20MB Caché, No incluye Disipador - 12va. Generación Alder Lake",3769.0,16.0,3769.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 12600k intel uhd graphics 770 lga 1700 4 90ghz 10 nucleos 20mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 12600k'], 'CACHE': ['20mb']}",CPU
Procesadores pc,BX8071512700K,"Procesador Intel Core i7-12700K con Intel UHD Graphics 770, LGA 1700, 5GHz, 12 Núcleos, 25MB Caché, No incluye Disipador - 12va. Generación Alder Lake",5749.0,5.0,5749.0,0.0,20251004 18:54,active,,,,,,procesador intel core i7 12700k intel uhd graphics 770 lga 1700 5ghz 12 nucleos 25mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i7 12700k'], 'CACHE': ['25mb']}",CPU
Procesadores pc,BX8071512100F,"Procesador Intel Core i3-12100F, LGA 1700, 4.30GHz, 4 Núcleos, 12MB Caché, Incluye Disipador - 12va. Generación Alder Lake",1439.0,1.0,1439.0,0.0,20251004 18:54,active,,,,,,procesador intel core i3 12100f lga 1700 4 30ghz 4 nucleos 12mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i3 12100f'], 'CACHE': ['12mb']}",CPU
Procesadores pc,100-100000263BOX,"Procesador AMD Ryzen 7 5700G con AMD Radeon Graphics, Socket AM4, 4.60GHz, 8 Núcleos, 16MB Caché - Incluye Disipador",2599.0,215.0,2599.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 5700g amd radeon graphics socket am4 4 60ghz 8 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 5700g'], 'CACHE': ['16mb']}",CPU
Procesadores pc,100-100001236BOX,"Procesador AMD Ryzen 7 8700G con AMD Radeon Graphics, Socket AM5, 5.10GHz, 8 Núcleos, 16MB Caché - Incluye Disipador",4899.0,8.0,4899.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 8700g amd radeon graphics socket am5 5 10ghz 8 nucleos 16mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 8700g'], 'CACHE': ['16mb']}",CPU
Procesadores pc,BX8070110105F,"Procesador Intel Core i3-10105F, LGA 1200, 4.40GHz, 4 Núcleos, 6MB Caché, Incluye Disipador - 10ma. Generación Comet Lake",1459.0,0.0,1459.0,0.0,20251004 18:54,active,,,,,,procesador intel core i3 10105f lga 1200 4 40ghz 4 nucleos 6mb cache 10ma generacion comet lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i3 10105f'], 'CACHE': ['6mb']}",CPU
Procesadores pc,100-100000063WOF,"Procesador AMD Ryzen 7 5800X, Socket AM4, 4.70GHz, 8 Núcleos, 32MB Caché - No incluye Disipador",4689.0,2.0,4689.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 5800x socket am4 4 70ghz 8 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 5800x'], 'CACHE': ['32mb']}",CPU
Procesadores pc,BX8071512700KF,"Procesador Intel Core i7-12700KF, LGA 1700, 5GHz, 12 Núcleos, 25MB Caché, No incluye Disipador - 12va. Generación Alder Lake",5169.0,13.0,5169.0,0.0,20251004 18:54,active,,,,,,procesador intel core i7 12700kf lga 1700 5ghz 12 nucleos 25mb cache 12va generacion alder lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i7 12700kf'], 'CACHE': ['25mb']}",CPU
Procesadores pc,BX8070110600KA,"Procesador Intel Core i5-10600K con Intel UHD Graphics 630, LGA 1200, 4.80GHz, 6 Núcleos, 12MB Caché, No incluye Disipador - 10ma. Generación Comet Lake",4379.0,1.0,4379.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 10600k intel uhd graphics 630 lga 1200 4 80ghz 6 nucleos 12mb cache 10ma generacion comet lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 10600k'], 'CACHE': ['12mb']}",CPU
Procesadores pc,BX8070110100F,"Procesador Intel Core i3-10100F, LGA 1200, 4.30GHz, 4 Núcleos, 6MB Caché, Incluye Disipador - 10ma. Generación Comet Lake",1249.0,147.0,1249.0,0.0,20251004 18:54,active,,,,,,procesador intel core i3 10100f lga 1200 4 30ghz 4 nucleos 6mb cache 10ma generacion comet lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i3 10100f'], 'CACHE': ['6mb']}",CPU
Procesadores pc,BX8070110400,"Procesador Intel Core i5-10400 con Intel UHD Graphics 630, LGA 1200, 4.30GHz, 6 Núcleos, 12MB Caché, Incluye Disipador - 10ma. Generación Comet Lake",2599.0,9.0,2599.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 10400 intel uhd graphics 630 lga 1200 4 30ghz 6 nucleos 12mb cache 10ma generacion comet lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 10400'], 'CACHE': ['12mb']}",CPU
Procesadores pc,BX8071514400F,"Procesador Intel Core i5-14400F, LGA 1700, 4.70GHz, 10 Núcleos, 20MB Caché, Incluye Disipador - 14va. Generación Raptor Lake",2779.0,175.0,2779.0,0.0,20251004 18:54,active,,,,,,procesador intel core i5 14400f lga 1700 4 70ghz 10 nucleos 20mb cache 14va generacion raptor lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i5 14400f'], 'CACHE': ['20mb']}",CPU
Procesadores pc,BX80684I39100F,"Procesador Intel Core i3-9100F, LGA 1151, 4.20GHz, 4 Núcleos, 6MB Caché, Incluye Disipador - 9na. Generación Coffee Lake",869.0,17.0,869.0,0.0,20251004 18:54,active,,,,,,procesador intel core i3 9100f lga 1151 4 20ghz 4 nucleos 6mb cache 9na generacion coffee lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i3 9100f'], 'CACHE': ['6mb']}",CPU
Procesadores pc,YD3200C5FHBOX,"Procesador AMD Ryzen 3 3200G con AMD Radeon Graphics, Socket AM4, 4GHz, 4 Núcleos, 4MB Caché - Incluye Disipador",1179.0,176.0,1179.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 3 3200g amd radeon graphics socket am4 4ghz 4 nucleos 4mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 3 3200g'], 'CACHE': ['4mb']}",CPU
Procesadores pc,BX80701G6400,"Procesador Intel Pentium Gold-6400, S-1200, 4GHz, Dual-Core, 4MB Caché",1549.0,1.0,1549.0,0.0,20251004 18:54,active,,,,,,procesador intel pentium gold 6400 s 1200 4ghz dual core 4mb cache,"{'CATEGORY': ['procesador'], 'BRAND': ['intel'], 'SERIES': ['pentium gold 6400 s 1200 4ghz'], 'CACHE': ['4mb']}",CPU
Procesadores pc,100-100000662WOF,"Procesador AMD Ryzen 9 9900X con AMD Radeon Graphics, Socket AM5, 5.6GHz, 12 Núcleos, 76 MB Caché - No incluye Disipador",8159.0,8.0,8159.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 9 9900x amd radeon graphics socket am5 5 6ghz 12mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 9900x'], 'CACHE': ['12mb']}",CPU
Procesadores pc,BX8070110100,"Procesador Intel Core i3-10100 con Intel UHD Graphics 630, LGA 1200, 4.30GHz, 4 Núcleos, 6MB Caché, Incluye Disipador - 10ma. Generación Comet Lake",1869.0,15.0,1869.0,0.0,20251004 18:54,active,,,,,,procesador intel core i3 10100 intel uhd graphics 630 lga 1200 4 30ghz 4 nucleos 6mb cache 10ma generacion comet lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i3 10100'], 'CACHE': ['6mb']}",CPU
Procesadores pc,BX80768265F,"Procesador Intel Core Ultra 7 265F, LGA 1851, 5.3GHz, 20 Núcleos, 30MB Caché, No incluye Disipador - 2da. Generación Arrow Lake",6989.0,4.0,6989.0,0.0,20251004 18:54,active,,,,,,procesador intel core ultra 7 265f lga 1851 5 3ghz 20 nucleos 30mb cache 2da generacion arrow lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core ultra 7 265f'], 'CACHE': ['30mb']}",CPU
Procesadores pc,YD3000C6FHBOX,"Procesador AMD Athlon 3000G con AMD Radeon Graphics, Socket AM4, 3.50GHz, 2 Núcleos, 4MB Caché - Incluye Disipador",689.0,53.0,689.0,0.0,20251004 18:54,active,,,,,,procesador amd athlon 3000g amd radeon graphics socket am4 3 50ghz 2 nucleos 4mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd athlon 3000g'], 'CACHE': ['4mb']}",CPU
Procesadores pc,100-100000908WOF,"Procesador AMD Ryzen 9 7950X3D con AMD Radeon Graphics, Socket AM5, 5.7GHz, 16 Núcleos, 128MB Caché - No incluye Disipador",12929.0,7.0,12929.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 9 7950x3d amd radeon graphics socket am5 5 7ghz 16 nucleos 128mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 7950x3d'], 'CACHE': ['128mb']}",CPU
Procesadores pc,100-100001368WOF,"Procesador AMD Ryzen 9 9900X3D con AMD Radeon Graphics, Socket AM5, 5.50GHz, 12 Núcleos, 140MB Caché - No incluye Disipador",12109.0,44.0,12109.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 9 9900x3d amd radeon graphics socket am5 5 50ghz 12 nucleos 140mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 9900x3d'], 'CACHE': ['140mb']}",CPU
Procesadores pc,YD3000C6FHSBX,"Procesador AMD Athlon 3000G con AMD Radeon Vega 3, Socket AM4, 3.50GHz, 2 Núcleos, 4MB Caché - Incluye Disipador",979.0,4.0,979.0,0.0,20251004 18:54,active,,,,,,procesador amd athlon 3000g amd radeon vega 3 socket am4 3 50ghz 2 nucleos 4mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd athlon 3000g'], 'CACHE': ['4mb']}",CPU
Procesadores pc,100-000000253,"Procesador AMD Ryzen 3 5300G con AMD Radeon Graphics, Socket AM4, 4.20GHz, 4 Núcleos, 8MB Caché - Incluye Disipador",1529.0,46.0,1529.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 3 5300g amd radeon graphics socket am4 4 20ghz 4 nucleos 8mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 3 5300g'], 'CACHE': ['8mb']}",CPU
Procesadores pc,BX80768225F,"Procesador Intel Core Ultra 5 225F, LGA 1851, 4.90GHz, 10 Núcleos, 20MB Caché, No incluye Disipador - Ultra Series 2 Arrow Lake",3729.0,14.0,3729.0,0.0,20251004 18:54,active,,,,,,procesador intel core ultra 5 225f lga 1851 4 90ghz 10 nucleos 20mb cache ultra series 2 arrow lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core ultra 5 225f'], 'CACHE': ['20mb']}",CPU
Procesadores pc,BX80701G5905,"Procesador Intel Celeron G5905 con Intel UHD Graphics 610, LGA 1200, 3.50GHz, 2 Núcleos, 4MB Caché, Incluye Disipador - 10ma. Generación Comet Lake",959.0,25.0,989.0,-0.03,20251004 18:54,active,,,,,,procesador intel celeron g5905 intel uhd graphics 610 lga 1200 3 50ghz 2 nucleos 4mb cache 10ma generacion comet lake,"{'CATEGORY': ['procesador'], 'BRAND': ['intel'], 'SERIES': ['celeron g5905 intel'], 'CACHE': ['4mb']}",CPU
Procesadores pc,100-100000592BOX,"Procesador AMD Ryzen 7 7700 con AMD Radeon Graphics, Socket AM5, 5GHz, 8 Núcleos, 32MB Caché - Incluye Disipador",5659.0,6.0,5659.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 7 7700 amd radeon graphics socket am5 5ghz 8 nucleos 32mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 7 7700'], 'CACHE': ['32mb']}",CPU
Procesadores pc,100-100000590BOX,"Procesador AMD Ryzen 9 7900 con AMD Radeon Graphics, Socket AM5, 5.40GHz, 12 Núcleos, 64MB Caché - Incluye Disipador",6499.0,1.0,6499.0,0.0,20251004 18:54,active,,,,,,procesador amd ryzen 9 7900 amd radeon graphics socket am5 5 40ghz 12 nucleos 64mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 7900'], 'CACHE': ['64mb']}",CPU
Procesadores pc,100-100001277WOF,"Procesador AMD Ryzen 9 9950X con AMD Radeon Graphics, Socket AM5, 5.7GHz, 16 Núcleos, 64MB Caché - No incluye Disipador",10849.0,28.0,10809.0,0.004,20251004 18:54,active,,,,,,procesador amd ryzen 9 9950x amd radeon graphics socket am5 5 7ghz 16 nucleos 64mb cache,"{'CATEGORY': ['procesador'], 'CPU': ['amd ryzen 9 9950x'], 'CACHE': ['64mb']}",CPU
Procesadores pc,BX8071514700K,"Procesador Intel Core i7-14700K con Intel UHD Graphics 770, LGA 1700, 5.6GHz, 20 Núcleos, 33MB Caché, No incluye Disipador - 14va. Generación Raptor Lake",7059.0,9.0,7059.0,0.0,20251004 18:54,active,,,,,,procesador intel core i7 14700k intel uhd graphics 770 lga 1700 5 6ghz 20 nucleos 33mb cache 14va generacion raptor lake,"{'CATEGORY': ['procesador'], 'CPU': ['intel core i7 14700k'], 'CACHE': ['33mb']}",CPU
